BIB Nr.;Athlete;Country;Country Code;Birth Year;Date of birth;Personal Best Time;Personal Best Event;PB Year;Distance;Gender;Category;Image;Highlight;Instagram;Bio;Profile URL;Tags
;Gabriel Gerald Geay;Tanzania;TAN;1996;10.09.1996;59:18;Half marathon;2025;21KM;M;International elite;https://media.aws.iaaf.org/athletes/14677692.jpg;Sub-60 half marathoner and 2023 Boston Marathon runner-up.;;"Tanzanian long-distance runner with a 59:18 half marathon PB; listed among the leading favourites for the 2026 Riga half marathon.";https://worldathletics.org/athletes/tanzania/gabriel-gerald-geay-14677692;"International;Half marathon"
;James Kipkogei;Kenya;KEN;1993;20.10.1993;59:31;Half marathon;2026;21KM;M;International elite;;"Sub-60 half marathoner; runner-up at the 2026 Rome Half Marathon.";;Kenyan road runner with a 59:31 half marathon PB and one of the top men named for the 2026 Riga half marathon.;https://worldathletics.org/athletes/kenya/james-kipkogei-15150911;"International;Half marathon"
;Alfred Kipchirchir Mukche;Kenya;KEN;1994;08.08.1994;59:43;Half marathon;2021;21KM;M;International elite;;Kenyan half marathon specialist with a sub-hour PB.;;Kenyan road runner with a 59:43 half marathon personal best.;https://worldathletics.org/athletes/kenya/alfred-kipchirchir-mukhche-14788006;"International;Half marathon"
;Charles Mbatha Matata;Kenya;KEN;1997;27.07.1997;1:00:05;Half marathon;2023;21KM;M;International elite;;Winner of the 2025 Beijing Half Marathon.;;Kenyan half marathoner with a 1:00:05 PB and one of the leading contenders in Riga’s 2026 elite half marathon field.;https://worldathletics.org/athletes/kenya/charles-mbatha-matata-15087316;"International;Half marathon"
;Tomoya Ogikubo;Japan;JPN;1997;11.12.1997;1:00:22;Half marathon;2026;21KM;M;International elite;;Japanese distance runner in the international half marathon field.;;Japanese road and track athlete listed by World Athletics with international half marathon results.;https://worldathletics.org/athletes/japan/tomoya-ogikubo-14813995;"International;Half marathon"
;Aklilu Gebremariam Asfaw;Ethiopia;ETH;2003;26.10.2003;1:00:27;Half marathon;2026;21KM;M;International elite;;Top 6 men in the 2026 Riga half marathon field.;;Ethiopian road runner listed with a 1:00:27 half marathon PB from the 2026 Burj2Burj Half Marathon.;https://worldathletics.org/athletes/ethiopia/akilu-gebremariam-asfaw-15223700;"International;Half marathon"
;Haimro Alame;Israel;ISR;1990;08.06.1990;1:00:33;Half marathon;2026;21KM;M;International elite;;Israeli half marathoner with a 1:00:33 PB.;;Israeli long-distance runner with World Athletics-listed road running performances.;https://worldathletics.org/athletes/israel/haimro-alame-14584604;"International;Half marathon"
;Abera Mamo Haile;Ethiopia;ETH;2003;17.03.2003;1:00:42;Half marathon;2025;21KM;M;International elite;;2025 Riga half marathon winner.;;"Ethiopian road runner; won the 2025 Rimi Riga Marathon half marathon and is listed with a 2003 date of birth in athlete profiles.";;"International;Half marathon"
;Dejene Hailu Bikila;Ethiopia;ETH;2003;29.12.2003;1:01:16;Half marathon;2026;21KM;M;International elite;;Top 6 men in the 2026 Riga half marathon field.;;Ethiopian road runner listed among the top 2026 Riga half marathon contenders with a 1:01:16 PB.;;"International;Half marathon"
;Benson Tunyo Murkomen;Kenya;KEN;;;1:02:07;Half marathon;2022;21KM;M;International elite;;Kenyan road runner in the international half marathon field.;;Kenyan road runner with World Athletics profile and a 1:02:07 half marathon PB in the clean CSV.;https://worldathletics.org/athletes/kenya/benson-tunyo-15049426;"International;Half marathon"
